,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19
8591450,0.0107545539302,0.46674731344,1.36304405904e-07,0.00179935446233,1.36304405907e-07,0.01698366528,1.36304405903e-07,0.0113815541974,1.36304405903e-07,4.1027626177e-05,0.0055204647435,0.00572492135236,0.0032578116055,0.0792338874562,0.010495575559,0.323477752395,1.36304405904e-07,0.0596333138872,1.36304405907e-07,0.00494798623871
9073704,0.154609211383,0.470601538164,0.0182159764876,8.79956354164e-07,8.79956354165e-07,8.79956354164e-07,8.79956354164e-07,8.79956354165e-07,0.0463745798208,8.79956354164e-07,0.0112643212897,0.0980280178103,0.00308072719593,0.0146081554355,0.000264866862604,0.0301833829042,0.0383669769979,0.0977640309041,0.000176871227187,0.0164560637792
1518627,0.00721177819305,0.0248389900411,1.16505035348e-07,0.00129332239739,1.16505035348e-07,1.16505035348e-07,0.00252827577208,9.33205333134e-05,0.020435099705,1.16505035348e-07,0.0087030426455,0.0109748908348,1.16505035348e-07,4.67185191744e-05,1.16505035348e-07,0.00144477894335,2.34175121049e-05,0.0010952638373,0.920459798773,0.000850603263073
1499508,6.04843587448e-07,6.04843587461e-07,0.00211755739966,6.04843587448e-07,6.04843587448e-07,6.04843587448e-07,0.0486300292744,6.04843587448e-07,6.04843587448e-07,6.04843587448e-07,0.903999830644,0.0230451455254,6.04843587448e-07,6.04843587448e-07,6.04843587448e-07,0.00139174509472,6.04843587448e-07,0.00520225969564,0.0140934604311,0.00151271381221
7681849,0.0210432472447,0.365698498052,1.87884458577e-07,1.87884458573e-07,1.87884458573e-07,0.000845667948039,1.87884458573e-07,0.0159703668632,0.012569658163,1.87884458573e-07,0.000638995043608,0.00300633922163,0.0514429526418,0.148128295024,0.271267769173,0.0359800617013,1.87884458573e-07,1.87884458577e-07,0.0517999331131,0.0216069006204
7652562,0.0309286157031,0.106843524548,3.19507192107e-07,0.142660280783,3.19507192107e-07,0.105693298656,3.19507192107e-07,3.19507192114e-07,0.0100647960586,3.19507192107e-07,3.19507192107e-07,3.19507192107e-07,0.0111191697925,0.183014039146,0.388009853602,3.19507192107e-07,3.19507192107e-07,3.19507192107e-07,3.19507192107e-07,0.021662907132
11617672,0.153873197417,0.238029557356,0.000668525139505,2.38673737774e-07,2.38673737774e-07,2.38673737774e-07,2.38673737774e-07,2.38673737774e-07,2.38673737774e-07,2.38673737774e-07,2.38673737774e-07,0.0586423760448,0.000191177663957,0.0275670553866,0.0289513630657,0.344191635918,0.00152775059549,0.144875197503,2.38673737774e-07,0.00148001584794
8641963,5.30132745239e-07,0.404968934221,5.30132745239e-07,0.00519583103609,5.30132745239e-07,0.0433653886933,5.30132745239e-07,0.00254516730989,5.30132745239e-07,5.30132745239e-07,5.30132745239e-07,5.30132745239e-07,0.0455919462233,0.16731042453,0.106080092455,0.00789950803681,0.196308685695,0.000795729250604,5.30132745239e-07,0.0199335213537
5820885,0.0059997548852,0.0786933955811,0.0863461078049,1.43933693595e-05,1.4250860752e-07,0.332444222131,1.4250860752e-07,0.0158185979433,0.00133972341929,1.4250860752e-07,1.4250860752e-07,1.4250860752e-07,0.00548672389812,0.130324264086,0.129426459858,1.4250860752e-07,0.191075683471,1.4250860752e-07,1.4250860752e-07,0.0230295334838
8613547,0.0212316113475,0.442511667176,0.00032727284056,1.55770033584e-07,1.55770033584e-07,0.0167921653904,1.55770033584e-07,1.55770033584e-07,1.55770033584e-07,0.000218233817051,1.55770033584e-07,1.55770033584e-07,0.0199231430654,0.139180680777,0.070626288997,1.55770033584e-07,0.239527736412,0.00112170001184,1.55770033584e-07,0.0485380982348
8650702,0.0338464566421,0.312455958081,3.22651420311e-07,0.00738904017655,3.22651420311e-07,0.000193913503607,3.22651420312e-07,0.0214566421021,3.22651420311e-07,3.22651420312e-07,3.22651420311e-07,3.22651420312e-07,0.0702092717112,0.129996579895,0.189267645806,3.22651420311e-07,3.22651420311e-07,3.22651420311e-07,3.22651420311e-07,0.235180942917
8644918,0.0639742823392,0.619351934873,3.5580604301e-07,3.5580604301e-07,3.5580604301e-07,3.5580604301e-07,3.5580604301e-07,0.0270416150748,0.000569645474859,3.5580604301e-07,3.5580604301e-07,7.1517014645e-05,0.0363993140059,0.0347626062081,0.0270416150748,0.0193206239415,3.5580604301e-07,3.55806043018e-07,0.0625154775629,0.108948166176
7702009,0.00262119261436,0.0242115150511,0.0104845314502,0.00897878571565,7.96690864824e-08,7.96690864824e-08,0.00222284718195,0.00169703121116,0.419338316369,0.0188736862568,0.00569641935258,0.00600712878986,0.00539367682394,0.0679976449818,0.0732956392329,0.0111298510507,0.274587553139,0.00621426841471,0.0469729730591,0.0142767799667
1474671,3.2474702207e-07,0.00396223841627,3.2474702207e-07,3.27994492291e-05,3.2474702207e-07,0.0092231401738,3.2474702207e-07,3.2474702207e-07,0.736883792526,0.00243592741255,3.2474702207e-07,0.0340987620644,3.2474702207e-07,0.0599161503189,0.103399776574,3.2474702207e-07,3.2474702207e-07,3.2474702207e-07,0.050043840848,3.2474702207e-07
7699942,0.0385959544368,0.106969634184,2.40922056896e-07,0.00163851090895,2.40922056896e-07,0.052473064914,2.40922056896e-07,0.00272266016498,0.117064268368,2.40922056896e-07,2.40922056896e-07,0.000602546064297,0.0123836346465,0.188569934855,0.187750799861,0.00412000809498,0.157201883047,2.40922056896e-07,0.000602546064297,0.129303108858
1511790,0.0915535747332,0.0639488618839,0.0142398165854,0.0110012748545,5.14054243003e-07,0.0221562519277,5.14054243003e-07,0.0333626344252,0.359427240762,0.0217450085333,5.14054243003e-07,0.00565511072728,0.00956192297411,0.119672341826,0.242120062509,5.14054243003e-07,5.14054243004e-07,5.14054243003e-07,0.00555229987868,5.14054243003e-07
1604683,0.0716361888398,0.298700382215,1.46106552587e-07,0.219159974987,1.46106552587e-07,0.0584573777965,1.46106552587e-07,0.00642883442037,1.46106552587e-07,0.00280539191622,1.4610655259e-07,1.46106552587e-07,0.0107828096874,0.137705571919,0.172040611777,0.000599182972158,0.004544059892,1.46106552587e-07,0.00469016644458,0.0124484243869
IA686,0.00570007447601,3.799796331e-07,3.79979633092e-07,3.79979633092e-07,0.587980864226,3.79979633092e-07,0.00133030869545,0.00486411928321,3.79979633091e-07,3.79979633091e-07,3.79979633091e-07,3.79979633091e-07,0.00539609076953,3.79979633091e-07,3.799796331e-07,0.00353419056739,3.79979633092e-07,0.391189412248,3.79979633092e-07,3.79979633092e-07
IA687,0.0100968121679,1.11689164587e-07,1.11689164587e-07,0.000446868347514,0.70632238854,1.11689164587e-07,0.000726091258983,1.11689164587e-07,1.11689164587e-07,0.00770666404569,1.11689164587e-07,0.00463521201954,0.0102531769983,0.00117284791733,1.1168916461e-07,0.00897992052199,1.11689164587e-07,0.249658901291,1.11689164587e-07,1.11689164587e-07
1501377,0.00765734677638,0.0193544425625,0.00116142992412,0.00161708876234,0.000227884987264,5.55681510031e-08,0.00501230278863,0.00162264557744,5.55681510043e-08,0.00118921399962,0.0061792339597,0.000283453138267,0.00487893922622,0.00207274760057,5.55681510031e-08,0.00415655326318,0.00358975812295,0.94099668147,5.55681510043e-08,5.55681510031e-08
IA688,0.00654861765091,1.55915755602e-07,0.466328589337,0.00101360832715,0.423420573396,1.55915755599e-07,0.0463383184798,1.55915755599e-07,1.55915755599e-07,0.00269749848762,0.00932391810057,1.55915755599e-07,0.0015749050473,1.55915755599e-07,1.55915755599e-07,0.00238566697642,1.55915755602e-07,0.0364688511503,0.00389804980573,1.55915755599e-07
9281774,0.19777464692,0.0838780088995,0.000405815281496,0.00972037595252,0.151576298266,1.56022791809e-07,0.364250965781,0.000530633514944,1.56022791809e-07,0.0231071314898,0.0121699337839,0.0276629970106,0.0612234995288,0.00352627111768,1.56022791809e-07,1.56022791809e-07,1.56022791809e-07,0.0344343861751,1.56022791809e-07,0.0297381001417
8969834,0.00930912418171,0.0891152437107,0.0337384874638,0.00844358636478,1.76640370803e-07,1.76640370803e-07,0.000353457381978,1.76640370803e-07,0.259414225202,0.00372728846432,0.00423954553965,0.0714688706675,1.76640370803e-07,0.0198545543187,0.0152619046778,0.00759571258492,0.353333910359,0.0255953663698,0.0189006963163,0.0796473198357
1501823,0.0141124349032,0.425830492176,3.12215103718e-07,0.000780849974398,3.12215103718e-07,3.12215103718e-07,0.00468353877087,3.12215103718e-07,0.000437413360309,3.12215103718e-07,0.0152364092765,0.0332824422714,0.00349712137674,0.0236974385873,0.0060885067376,0.0332199992507,3.12215103718e-07,0.418337329687,3.12215103718e-07,0.0207938381227
